demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
KZN214,uMuziwabantu,2021,fruitless,Fruitless and Wasteful Expenditure,87847
KZN214,uMuziwabantu,2021,irregular,Irregular Expenditure,26391122
KZN214,uMuziwabantu,2021,unauthorised,Unauthorised Expenditure,9000
KZN216,Ray Nkonyeni,2021,fruitless,Fruitless and Wasteful Expenditure,171467
KZN216,Ray Nkonyeni,2021,irregular,Irregular Expenditure,31850292
KZN216,Ray Nkonyeni,2021,unauthorised,Unauthorised Expenditure,0
KZN221,uMshwathi,2021,fruitless,Fruitless and Wasteful Expenditure,0
KZN221,uMshwathi,2021,irregular,Irregular Expenditure,124900
KZN221,uMshwathi,2021,unauthorised,Unauthorised Expenditure,77090800
KZN222,uMngeni,2021,fruitless,Fruitless and Wasteful Expenditure,646535
KZN222,uMngeni,2021,irregular,Irregular Expenditure,21965833
KZN222,uMngeni,2021,unauthorised,Unauthorised Expenditure,86057073
KZN223,Mpofana,2021,fruitless,Fruitless and Wasteful Expenditure,635760
KZN223,Mpofana,2021,irregular,Irregular Expenditure,50781958
KZN223,Mpofana,2021,unauthorised,Unauthorised Expenditure,51943526
KZN224,Impendle,2021,fruitless,Fruitless and Wasteful Expenditure,0
KZN224,Impendle,2021,irregular,Irregular Expenditure,3985261
KZN224,Impendle,2021,unauthorised,Unauthorised Expenditure,15962209
KZN225,Msunduzi,2021,fruitless,Fruitless and Wasteful Expenditure,9219285
KZN225,Msunduzi,2021,irregular,Irregular Expenditure,50096103
KZN225,Msunduzi,2021,unauthorised,Unauthorised Expenditure,920571748
KZN226,Mkhambathini,2021,fruitless,Fruitless and Wasteful Expenditure,0
KZN226,Mkhambathini,2021,irregular,Irregular Expenditure,441012
KZN226,Mkhambathini,2021,unauthorised,Unauthorised Expenditure,4701195
KZN227,Richmond,2021,fruitless,Fruitless and Wasteful Expenditure,464868
KZN227,Richmond,2021,irregular,Irregular Expenditure,22583824
KZN227,Richmond,2021,unauthorised,Unauthorised Expenditure,6731230
KZN235,Okhahlamba,2021,fruitless,Fruitless and Wasteful Expenditure,46308
KZN235,Okhahlamba,2021,irregular,Irregular Expenditure,3638879
KZN235,Okhahlamba,2021,unauthorised,Unauthorised Expenditure,0
KZN237,Inkosi Langalibalele,2021,fruitless,Fruitless and Wasteful Expenditure,965498
KZN237,Inkosi Langalibalele,2021,irregular,Irregular Expenditure,34881808
KZN237,Inkosi Langalibalele,2021,unauthorised,Unauthorised Expenditure,33944499
KZN238,Alfred Duma,2021,fruitless,Fruitless and Wasteful Expenditure,514876
KZN238,Alfred Duma,2021,irregular,Irregular Expenditure,51744
KZN238,Alfred Duma,2021,unauthorised,Unauthorised Expenditure,2026081
KZN241,Endumeni,2021,fruitless,Fruitless and Wasteful Expenditure,1505239
KZN241,Endumeni,2021,irregular,Irregular Expenditure,9864208
KZN241,Endumeni,2021,unauthorised,Unauthorised Expenditure,32220268
KZN242,Nquthu,2021,fruitless,Fruitless and Wasteful Expenditure,33035
KZN242,Nquthu,2021,irregular,Irregular Expenditure,217750735
KZN242,Nquthu,2021,unauthorised,Unauthorised Expenditure,0
KZN244,Msinga,2021,fruitless,Fruitless and Wasteful Expenditure,0
KZN244,Msinga,2021,irregular,Irregular Expenditure,808266
KZN244,Msinga,2021,unauthorised,Unauthorised Expenditure,24711092
KZN245,Umvoti,2021,fruitless,Fruitless and Wasteful Expenditure,194690
KZN245,Umvoti,2021,irregular,Irregular Expenditure,34124626
KZN245,Umvoti,2021,unauthorised,Unauthorised Expenditure,26590020
KZN252,Newcastle,2021,fruitless,Fruitless and Wasteful Expenditure,4361163
KZN252,Newcastle,2021,irregular,Irregular Expenditure,31645210
KZN252,Newcastle,2021,unauthorised,Unauthorised Expenditure,0
KZN253,Emadlangeni,2021,fruitless,Fruitless and Wasteful Expenditure,116167
KZN253,Emadlangeni,2021,irregular,Irregular Expenditure,29801585
KZN253,Emadlangeni,2021,unauthorised,Unauthorised Expenditure,11437157
KZN254,Dannhauser,2021,fruitless,Fruitless and Wasteful Expenditure,0
KZN254,Dannhauser,2021,irregular,Irregular Expenditure,21639030
KZN254,Dannhauser,2021,unauthorised,Unauthorised Expenditure,0
KZN261,eDumbe,2021,fruitless,Fruitless and Wasteful Expenditure,37730
KZN261,eDumbe,2021,irregular,Irregular Expenditure,16054509
KZN261,eDumbe,2021,unauthorised,Unauthorised Expenditure,32398772
KZN262,uPhongolo,2021,fruitless,Fruitless and Wasteful Expenditure,2529
KZN262,uPhongolo,2021,irregular,Irregular Expenditure,404337
